run_id,model,segment,curve,alpha,epsilon_smooth,epsilon_bound,kappa,n_triples,satisfied,violation_ratio
20251217_184957,autumn,HMB_3,Mixed-stream,0.5,0.01,0.02,0.4,5277,3510,0.33484934621944284
20251217_184957,autumn,HMB_3,Mixed-stream,0.5,0.01,0.02,0.5,5277,3684,0.3018760659465606
20251217_184957,autumn,HMB_3,Mixed-stream,0.5,0.01,0.02,0.6,5277,3840,0.27231381466742466
20251217_184957,autumn,HMB_3,Mixed-stream,0.5,0.01,0.02,0.7,5277,4005,0.24104604889141557
20251217_184957,autumn,HMB_3,Mixed-stream,0.5,0.01,0.02,0.8,5277,4081,0.22664392647337506
20251217_184957,autumn,HMB_3,Mixed-stream,0.5,0.01,0.02,0.9,5277,4143,0.2148948266060261
20251217_184957,autumn,HMB_3,Mixed-stream,0.5,0.01,0.02,1.0,5277,4195,0.20504074284631424
20251217_184957,autumn,HMB_3,Mixed-stream,0.5,0.01,0.02,1.1,5277,4236,0.19727117680500283
20251217_184957,autumn,HMB_3,Mixed-stream,0.5,0.01,0.02,1.2,5277,4260,0.1927231381466743
20251217_184957,autumn,HMB_3,Mixed-stream,0.5,0.01,0.02,1.3,5277,4284,0.18817509948834565
20251217_184957,autumn,HMB_3,Mixed-stream,0.5,0.01,0.02,1.4,5277,4298,0.185522076937654
20251217_184957,autumn,HMB_3,Mixed-stream,0.5,0.01,0.02,1.5,5277,4319,0.18154254311161644
20251217_184957,autumn,HMB_3,Mixed-stream,0.5,0.01,0.02,1.6,5277,4335,0.17851051733939738
20251217_184957,autumn,HMB_3,Mixed-stream,0.5,0.01,0.02,1.7,5277,4343,0.1769945044532879
20251217_184957,autumn,HMB_3,Mixed-stream,0.5,0.01,0.02,1.8,5277,4354,0.17490998673488722
20251217_184957,autumn,HMB_3,Mixed-stream,0.5,0.01,0.02,1.9,5277,4364,0.17301497062725035
20251217_184957,autumn,HMB_3,Mixed-stream,0.5,0.01,0.02,2.0,5277,4372,0.17149895774114077
20251217_184957,autumn,HMB_3,Inserted-only,0.5,0.01,0.02,0.0,5277,4549,0.1379571726359674
20251217_184957,autumn,HMB_3,Inserted-only,0.5,0.01,0.02,0.1,5277,4743,0.10119386014781129
20251217_184957,autumn,HMB_3,Inserted-only,0.5,0.01,0.02,0.2,5277,4871,0.0769376539700587
20251217_184957,autumn,HMB_3,Inserted-only,0.5,0.01,0.02,0.3,5277,4956,0.060830017055145014
20251217_184957,autumn,HMB_3,Inserted-only,0.5,0.01,0.02,0.4,5277,5001,0.05230244457077882
20251217_184957,autumn,HMB_3,Inserted-only,0.5,0.01,0.02,0.5,5277,5048,0.043395868864885334
20251217_184957,autumn,HMB_3,Inserted-only,0.5,0.01,0.02,0.6,5277,5073,0.0386583285957931
20251217_184957,autumn,HMB_3,Inserted-only,0.5,0.01,0.02,0.7,5277,5095,0.03448929315899185
20251217_184957,autumn,HMB_3,Inserted-only,0.5,0.01,0.02,0.8,5277,5109,0.03183627060830019
20251217_184957,autumn,HMB_3,Inserted-only,0.5,0.01,0.02,0.9,5277,5124,0.028993746446844826
20251217_184957,autumn,HMB_3,Inserted-only,0.5,0.01,0.02,1.0,5277,5131,0.02766723517149894
20251217_184957,autumn,HMB_3,Inserted-only,0.5,0.01,0.02,1.1,5277,5140,0.025961720674625766
20251217_184957,autumn,HMB_3,Inserted-only,0.5,0.01,0.02,1.2,5277,5145,0.025014212620807275
20251217_184957,autumn,HMB_3,Inserted-only,0.5,0.01,0.02,1.3,5277,5145,0.025014212620807275
20251217_184957,autumn,HMB_3,Inserted-only,0.5,0.01,0.02,1.4,5277,5149,0.024256206177752482
20251217_184957,autumn,HMB_3,Inserted-only,0.5,0.01,0.02,1.5,5277,5150,0.024066704566988784
20251217_184957,autumn,HMB_3,Inserted-only,0.5,0.01,0.02,1.6,5277,5153,0.0234981997346978
20251217_184957,autumn,HMB_3,Inserted-only,0.5,0.01,0.02,1.7,5277,5154,0.023308698123934102
20251217_184957,autumn,HMB_3,Inserted-only,0.5,0.01,0.02,1.8,5277,5154,0.023308698123934102
20251217_184957,autumn,HMB_3,Inserted-only,0.5,0.01,0.02,1.9,5277,5154,0.023308698123934102
20251217_184957,autumn,HMB_3,Inserted-only,0.5,0.01,0.02,2.0,5277,5155,0.023119196513170404
20251217_184957,autumn,HMB_3,Upsampled,0.5,0.01,0.02,0.0,5277,4503,0.1466742467310972
20251217_184957,autumn,HMB_3,Upsampled,0.5,0.01,0.02,0.1,5277,4813,0.08792874739435286
20251217_184957,autumn,HMB_3,Upsampled,0.5,0.01,0.02,0.2,5277,4996,0.05324995262459731
20251217_184957,autumn,HMB_3,Upsampled,0.5,0.01,0.02,0.3,5277,5094,0.03467879476975555
